name,wvlg
Ly_alpha,1215.6701
Ly_beta,1025.7223
Ly_gamma,972.5368
Ly_delta,949.7431
Ly_limit,911.7633
#CI_1560,1560.3092
#CI_1613,1613.4
#CI_1657,1656.9284
CII_1334,1334.5323
CII_1335*,1335.7077
CIV_1548,1548.2049
CIV_1550,1550.77845
NV_1239,1238.821
NV_1243,1242.804
OI_1302,1302.1685
OI_1305*,1304.8576
OI_1306**,1306.0286
NaI_5892,5891.5833
NaI_5898,5897.5581
MgI_2026,2026.4768
MgII_2796,2796.3542699
MgII_2804,2803.5314853
AlII_1671,1670.7886
AlIII_1863,1862.79113
AlIII_1855,1854.71829
SiII_1527,1526.70698
SiII_1304,1304.3702
SiII_1260,1260.4221
SiII_1309*,1309.2757
SiII_1533*,1533.4316
SiIV_1394,1393.76018
SiIV_1403,1402.77291
#SI_1807,1807.3113
CaII_3935,3934.7750
CaII_3970,3969.5901
FeII_2600,2600.1724835
FeII_2587,2586.6495659
FeII_2383,2382.7641781
FeII_2374,2374.4603294
FeII_2344,2344.2129601
FeII_1608,1608.45085
FeII_2389*,2389.356640
FeII_2396*,2396.354620
FeII_2411*,2411.3
FeII_2613*,2612.7
#CrII_2056,2056.25693
#CrII_2066,2066.2
#ZnII_2063,2062.66045
#ZnII_2026,2026.13709
#MnII_2606,2606.462
#MnII_2594,2594.499
#MnII_2577,2576.877
#NiII_1742,1741.5531
#NiII_1710,1709.6042
#NiII_2166*,2166.2
#NiII_2170*,2169.8
#NiII_2175*,2175.4
#NiII_2217*,2217.2
#NiII_2317*,2316.7